                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.67775,                 0.4616,                 1.0461,                0.98898,                0.99823,                 0.9948,                0.89614,                0.47522,                0.31237,                0.86807,              0.0010298,              0.0010298,              0.0010298
                     51,                0.68144,                0.47093,                 1.0662,                0.98767,                 0.9944,                0.99471,                0.88448,                0.49493,                0.33057,                0.88625,                0.00101,                0.00101,                0.00101
                     52,                0.67421,                 0.4603,                 1.0699,                0.98118,                0.98759,                0.99373,                0.89144,                0.48076,                0.31254,                0.87613,              0.0009902,              0.0009902,              0.0009902
                     53,                0.68138,                0.46473,                 1.0648,                0.98791,                0.99291,                0.99442,                0.89551,                0.49433,                0.31037,                0.88557,              0.0009704,              0.0009704,              0.0009704
                     54,                0.68245,                0.45377,                 1.0668,                0.99416,                0.99113,                0.99487,                0.89683,                0.48605,                0.31033,                0.87957,              0.0009506,              0.0009506,              0.0009506
                     55,                0.69632,                0.47374,                  1.075,                0.99088,                0.99645,                0.99482,                  0.898,                0.46607,                0.31135,                0.87682,              0.0009308,              0.0009308,              0.0009308
                     56,                0.65545,                0.46099,                 1.0505,                0.99461,                0.98189,                0.99472,                0.89742,                0.46304,                0.29042,                 0.8762,               0.000911,               0.000911,               0.000911
                     57,                0.66806,                0.45639,                 1.0599,                 0.9899,                0.99645,                0.99482,                0.88934,                0.48724,                0.33116,                0.88105,              0.0008912,              0.0008912,              0.0008912
                     58,                0.66364,                0.46511,                 1.0644,                0.99465,                0.99823,                0.99493,                 0.9048,                0.45963,                0.28632,                0.87453,              0.0008714,              0.0008714,              0.0008714
                     59,                0.64827,                0.43115,                 1.0545,                0.99449,                0.99645,                0.99493,                0.90548,                0.45174,                0.28414,                 0.8772,              0.0008516,              0.0008516,              0.0008516
                     60,                0.66595,                0.44962,                 1.0554,                0.99205,                0.99468,                0.99473,                 0.9004,                0.45387,                0.28737,                0.87415,              0.0008318,              0.0008318,              0.0008318
                     61,                0.64794,                0.44986,                  1.065,                0.99287,                0.98826,                 0.9948,                0.89789,                 0.4606,                0.31056,                0.86523,               0.000812,               0.000812,               0.000812
                     62,                0.63603,                0.42137,                 1.0391,                0.99643,                0.99022,                0.99493,                0.89395,                0.47704,                0.28606,                0.87042,              0.0007922,              0.0007922,              0.0007922
                     63,                0.64628,                 0.4295,                 1.0452,                0.99222,                0.99113,                0.99482,                 0.9063,                0.45211,                0.28368,                0.85965,              0.0007724,              0.0007724,              0.0007724
                     64,                0.64659,                0.42384,                 1.0408,                0.99435,                0.99645,                0.99487,                0.91571,                0.43867,                0.27056,                0.86109,              0.0007526,              0.0007526,              0.0007526
                     65,                0.64691,                  0.423,                 1.0526,                0.99587,                0.99468,                0.99493,                0.90616,                0.45312,                0.27215,                0.86817,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.6554,                0.41905,                 1.0482,                0.99454,                0.99645,                0.99495,                0.91226,                0.43494,                 0.2671,                0.86324,               0.000713,               0.000713,               0.000713
                     67,                0.62823,                0.43236,                 1.0477,                0.99624,                0.99468,                0.99495,                0.91126,                0.43109,                0.26699,                0.85548,              0.0006932,              0.0006932,              0.0006932
                     68,                0.62991,                0.40497,                 1.0322,                0.99645,                 0.9961,                0.99491,                0.91542,                0.42847,                0.26501,                0.85312,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.6253,                0.40635,                  1.042,                 0.9972,                0.99823,                0.99493,                0.91442,                0.43325,                0.26261,                0.85487,              0.0006536,              0.0006536,              0.0006536
                     70,                0.59611,                0.39755,                   1.03,                0.99646,                0.99798,                0.99498,                0.91465,                0.42772,                0.25563,                 0.8496,              0.0006338,              0.0006338,              0.0006338
                     71,                0.62159,                0.41114,                 1.0403,                0.99645,                0.99522,                0.99498,                0.91663,                0.41836,                0.25588,                0.84721,               0.000614,               0.000614,               0.000614
                     72,                0.62438,                 0.4037,                 1.0358,                 0.9947,                0.99786,                0.99495,                0.90401,                0.44602,                0.26882,                 0.8557,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.5898,                 0.3855,                  1.024,                0.99822,                0.99444,                0.99498,                0.91885,                0.41931,                0.25636,                0.84374,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.5947,                0.39441,                 1.0168,                0.99642,                0.99823,                0.99498,                0.91917,                0.42287,                0.25336,                0.84901,              0.0005546,              0.0005546,              0.0005546
                     75,                0.60783,                0.39644,                 1.0372,                0.99563,                0.99823,                  0.995,                0.92067,                0.41835,                0.26818,                0.84946,              0.0005348,              0.0005348,              0.0005348
                     76,                0.62071,                0.40315,                 1.0434,                0.99823,                0.99769,                0.99498,                0.91851,                0.42544,                0.27643,                0.85616,               0.000515,               0.000515,               0.000515
