                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.89647,                0.73361,                 1.4354,                0.96286,                0.93085,                0.98122,                0.82842,                 0.6595,                0.50809,                 1.3175,              0.0008516,              0.0008516,              0.0008516
                     60,                0.93074,                0.76521,                 1.4354,                0.96115,                0.92553,                0.97539,                0.81777,                0.67204,                0.53234,                 1.3359,              0.0008318,              0.0008318,              0.0008318
                     61,                0.92734,                 0.7561,                 1.4484,                0.93833,                0.94418,                0.97663,                0.81369,                0.66424,                0.52574,                 1.3306,               0.000812,               0.000812,               0.000812
                     62,                 0.9114,                0.72378,                 1.4365,                0.95684,                 0.9344,                0.98542,                0.83795,                0.61247,                0.47426,                 1.2742,              0.0007922,              0.0007922,              0.0007922
                     63,                0.91086,                0.72975,                 1.4428,                0.93882,                0.92199,                0.97845,                 0.8289,                0.62722,                0.50076,                 1.2863,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.8957,                0.72171,                 1.4302,                0.95554,                0.95263,                0.98349,                0.84115,                0.62256,                0.46806,                 1.2826,              0.0007526,              0.0007526,              0.0007526
                     65,                0.87593,                0.69621,                 1.4167,                0.95584,                0.95937,                0.98505,                0.83546,                0.62029,                0.47738,                 1.2705,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.8918,                0.71964,                 1.4288,                0.94328,                0.94365,                0.98079,                0.83557,                 0.6188,                0.48435,                 1.2774,               0.000713,               0.000713,               0.000713
                     67,                0.87174,                 0.7135,                  1.391,                 0.9627,                0.96105,                0.98799,                0.84594,                0.61218,                0.43384,                 1.2687,              0.0006932,              0.0006932,              0.0006932
                     68,                0.88442,                0.68761,                 1.4138,                 0.9623,                0.95045,                0.98726,                0.85156,                0.59093,                 0.4439,                 1.2468,              0.0006734,              0.0006734,              0.0006734
                     69,                0.87564,                0.68759,                 1.4171,                0.97907,                0.93794,                0.98594,                0.83472,                0.62185,                0.45366,                  1.278,              0.0006536,              0.0006536,              0.0006536
                     70,                0.85643,                0.68788,                 1.4004,                 0.9559,                 0.9609,                0.98717,                0.84199,                0.61853,                0.44218,                 1.2661,              0.0006338,              0.0006338,              0.0006338
                     71,                0.87636,                0.68767,                 1.4005,                 0.9743,                0.93972,                0.98735,                0.84448,                0.61003,                0.44414,                 1.2619,               0.000614,               0.000614,               0.000614
                     72,                0.85135,                0.65435,                 1.3989,                0.95987,                0.93313,                0.98505,                0.82388,                0.64611,                 0.5039,                 1.2991,              0.0005942,              0.0005942,              0.0005942
                     73,                0.82776,                0.63854,                  1.366,                0.97243,                0.94504,                0.98609,                0.85006,                0.58655,                0.43666,                 1.2441,              0.0005744,              0.0005744,              0.0005744
                     74,                0.84517,                0.65827,                 1.3774,                0.98359,                0.95745,                0.99088,                0.85836,                0.57618,                0.40648,                 1.2303,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.8415,                0.65516,                 1.3873,                0.97814,                0.95208,                0.98698,                0.85431,                0.58632,                0.44123,                 1.2407,              0.0005348,              0.0005348,              0.0005348
                     76,                0.83791,                0.66028,                 1.3907,                0.95651,                0.93583,                0.98423,                0.84535,                0.58118,                0.44846,                 1.2319,               0.000515,               0.000515,               0.000515
                     77,                  0.829,                0.65621,                 1.3898,                0.97232,                0.95213,                0.98959,                0.85491,                0.58674,                0.41633,                 1.2482,              0.0004952,              0.0004952,              0.0004952
                     78,                0.83082,                0.66357,                  1.378,                0.97225,                0.94681,                0.98604,                0.85606,                0.56725,                0.41696,                 1.2183,              0.0004754,              0.0004754,              0.0004754
                     79,                0.81364,                0.62976,                 1.3472,                0.96044,                0.96099,                0.98681,                0.85637,                0.55801,                 0.4105,                 1.2059,              0.0004556,              0.0004556,              0.0004556
                     80,                0.81269,                0.62762,                 1.3649,                0.95804,                0.97153,                0.98868,                0.86429,                0.55104,                0.39621,                 1.2033,              0.0004358,              0.0004358,              0.0004358
                     81,                0.83843,                0.64988,                 1.3705,                0.95567,                0.96809,                 0.9887,                0.86072,                0.55389,                0.39721,                 1.1983,               0.000416,               0.000416,               0.000416
                     82,                0.84254,                0.66182,                 1.3552,                0.97845,                0.95035,                0.98828,                0.86415,                0.56711,                0.39746,                 1.2129,              0.0003962,              0.0003962,              0.0003962
                     83,                0.81646,                0.63569,                 1.3702,                0.97254,                0.94193,                0.98873,                0.86551,                0.54892,                0.40486,                  1.196,              0.0003764,              0.0003764,              0.0003764
                     84,                0.83315,                0.64866,                 1.3628,                0.97834,                0.96083,                0.99116,                0.86585,                0.54858,                0.40279,                  1.193,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.8188,                0.63517,                 1.3632,                 0.9647,                0.96908,                0.99093,                0.86374,                0.54976,                0.41196,                 1.1966,              0.0003368,              0.0003368,              0.0003368
                     86,                0.81022,                0.60615,                 1.3578,                0.97294,                0.95611,                0.98988,                0.86988,                0.53477,                 0.3926,                 1.1841,               0.000317,               0.000317,               0.000317
                     87,                 0.8309,                0.64828,                 1.3605,                0.97138,                0.96287,                0.99075,                0.86882,                0.54473,                  0.406,                 1.1984,              0.0002972,              0.0002972,              0.0002972
                     88,                0.80266,                0.61362,                 1.3436,                0.96347,                0.96631,                0.99087,                0.86696,                0.54572,                0.39458,                  1.192,              0.0002774,              0.0002774,              0.0002774
